,ZIP,State,Sun,Houses,Solar Fraction,Solar Houses
0,01001,MA,4.48,3942,0.018237976173,72.0
1,01002,MA,4.38,4594,0.018237976173,84.0
2,01003,MA,4.38,0,0.018237976173,0.0
3,01005,MA,4.36,1792,0.018237976173,33.0
4,01007,MA,4.42,4141,0.018237976173,76.0
5,01008,MA,4.44,511,0.018237976173,9.0
6,01009,MA,4.47,205,0.018237976173,4.0
7,01010,MA,4.51,1332,0.018237976173,24.0
8,01011,MA,4.36,556,0.018237976173,10.0
9,01012,MA,4.47,289,0.018237976173,5.0
10,01013,MA,4.45,3791,0.018237976173,69.0
11,01020,MA,4.45,7153,0.018237976173,130.0
12,01022,MA,4.45,325,0.018237976173,6.0
13,01026,MA,4.42,433,0.018237976173,8.0
14,01027,MA,4.47,4781,0.018237976173,87.0
15,01028,MA,4.49,5284,0.018237976173,96.0
16,01029,MA,4.52,1046,0.018237976173,19.0
17,01030,MA,4.48,3778,0.018237976173,69.0
18,01031,MA,4.36,312,0.018237976173,6.0
19,01032,MA,4.48,336,0.018237976173,6.0
20,01033,MA,4.38,2248,0.018237976173,41.0
21,01034,MA,4.51,1058,0.018237976173,19.0
22,01035,MA,4.38,1671,0.018237976173,30.0
23,01036,MA,4.49,1685,0.018237976173,31.0
24,01037,MA,4.36,255,0.018237976173,5.0
25,01038,MA,4.38,992,0.018237976173,18.0
26,01039,MA,4.49,491,0.018237976173,9.0
27,01040,MA,4.45,5574,0.018237976173,102.0
28,01050,MA,4.47,968,0.018237976173,18.0
29,01053,MA,4.49,356,0.018237976173,6.0
30,01054,MA,4.38,700,0.018237976173,13.0
31,01056,MA,4.44,6298,0.018237976173,115.0
32,01057,MA,4.5,2805,0.018237976173,51.0
33,01060,MA,4.38,2126,0.018237976173,39.0
34,01062,MA,4.48,3289,0.018237976173,60.0
35,01063,MA,4.49,0,0.018237976173,0.0
36,01068,MA,4.46,661,0.018237976173,12.0
37,01069,MA,4.46,2510,0.018237976173,46.0
38,01070,MA,4.41,307,0.018237976173,6.0
39,01071,MA,4.52,549,0.018237976173,10.0
40,01072,MA,4.47,702,0.018237976173,13.0
41,01073,MA,4.48,2063,0.018237976173,38.0
42,01075,MA,4.38,4861,0.018237976173,89.0
43,01077,MA,4.5,2941,0.018237976173,54.0
44,01079,MA,4.5,156,0.018237976173,3.0
45,01080,MA,4.5,475,0.018237976173,9.0
46,01081,MA,4.51,665,0.018237976173,12.0
47,01082,MA,4.36,3112,0.018237976173,57.0
48,01083,MA,4.46,710,0.018237976173,13.0
49,01084,MA,4.47,92,0.018237976173,2.0
50,01085,MA,4.48,9724,0.018237976173,177.0
51,01088,MA,4.49,183,0.018237976173,3.0
52,01089,MA,4.48,6414,0.018237976173,117.0
53,01092,MA,4.46,377,0.018237976173,7.0
54,01094,MA,4.46,115,0.018237976173,2.0
55,01095,MA,4.49,4791,0.018237976173,87.0
56,01096,MA,4.47,821,0.018237976173,15.0
57,01098,MA,4.36,511,0.018237976173,9.0
58,01103,MA,4.49,12,0.018237976173,0.0
59,01104,MA,4.49,4658,0.018237976173,85.0
60,01105,MA,4.49,467,0.018237976173,9.0
61,01106,MA,4.48,5472,0.018237976173,100.0
62,01107,MA,4.49,844,0.018237976173,15.0
63,01108,MA,4.52,3467,0.018237976173,63.0
64,01109,MA,4.49,5052,0.018237976173,92.0
65,01118,MA,4.49,4734,0.018237976173,86.0
66,01119,MA,4.49,3647,0.018237976173,67.0
67,01128,MA,4.49,941,0.018237976173,17.0
68,01129,MA,4.49,2144,0.018237976173,39.0
69,01151,MA,4.49,1150,0.018237976173,21.0
70,01201,MA,4.25,12124,0.018237976173,221.0
71,01220,MA,4.19,2202,0.018237976173,40.0
72,01222,MA,4.44,329,0.018237976173,6.0
73,01223,MA,4.28,1968,0.018237976173,36.0
74,01224,MA,4.25,71,0.018237976173,1.0
75,01225,MA,4.19,1117,0.018237976173,20.0
76,01226,MA,4.27,2294,0.018237976173,42.0
77,01229,MA,4.39,53,0.018237976173,1.0
78,01230,MA,4.36,3164,0.018237976173,58.0
79,01235,MA,4.28,1262,0.018237976173,23.0
80,01236,MA,4.35,687,0.018237976173,13.0
81,01237,MA,4.24,907,0.018237976173,17.0
82,01238,MA,4.33,2292,0.018237976173,42.0
83,01240,MA,4.28,1698,0.018237976173,31.0
84,01242,MA,4.34,106,0.018237976173,2.0
85,01243,MA,4.41,196,0.018237976173,4.0
86,01245,MA,4.37,675,0.018237976173,12.0
87,01247,MA,4.19,3689,0.018237976173,67.0
88,01253,MA,4.42,460,0.018237976173,8.0
89,01254,MA,4.32,584,0.018237976173,11.0
90,01255,MA,4.41,660,0.018237976173,12.0
91,01256,MA,4.27,291,0.018237976173,5.0
92,01257,MA,4.42,1140,0.018237976173,21.0
93,01258,MA,4.42,289,0.018237976173,5.0
94,01259,MA,4.41,433,0.018237976173,8.0
95,01262,MA,4.35,701,0.018237976173,13.0
96,01264,MA,4.37,149,0.018237976173,3.0
97,01266,MA,4.35,954,0.018237976173,17.0
98,01267,MA,4.19,2223,0.018237976173,41.0
