state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,storage,interruptible_load
Alabama,25,2010,3279.90,1914.61,7662.05,11573.08,5008.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,110.00,195.91
Arizona,25,2010,4012.20,2770.57,9367.40,5362.00,3875.00,0.00,6.50,12.05,0.00,0.00,63.00,0.00,194.10,235.64
Arkansas,25,2010,1308.80,2131.44,4025.50,3793.00,1834.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,28.00,87.71
California,25,2010,10032.30,19974.97,12055.37,316.90,4324.00,2078.35,723.61,160.25,0.00,350.00,2734.20,0.00,3352.60,304.04
Colorado,25,2010,643.20,2151.80,2141.13,4927.90,0.00,0.00,9.80,4.11,0.00,0.00,1241.90,0.00,508.50,98.36
Connecticut,25,2010,118.50,3104.47,1756.50,555.30,2037.10,0.00,192.16,7.49,0.00,0.00,0.00,0.00,31.00,67.42
Delaware,25,2010,0.00,866.02,951.88,1056.00,0.00,0.00,0.00,1.73,0.00,0.00,168.57,0.00,0.00,18.60
Florida,25,2010,55.70,19219.08,14172.35,10353.00,3902.00,0.00,584.17,35.79,0.00,0.00,0.00,0.00,0.00,1626.62
Georgia,25,2010,1932.20,8575.54,5240.21,13192.20,4060.00,0.00,2.40,0.53,0.00,0.00,0.00,0.00,1634.60,290.94
Idaho,25,2010,2515.60,346.78,263.60,0.00,0.00,19.60,11.57,0.12,0.00,0.00,188.40,0.00,0.00,72.58
Illinois,25,2010,38.30,11473.91,2913.25,15263.86,11388.00,0.00,133.00,0.42,0.00,0.00,1593.00,0.00,0.00,330.93
Indiana,25,2010,92.10,3694.18,2446.10,19676.20,0.00,0.00,9.60,0.06,0.00,0.00,1323.95,0.00,0.00,457.82
Iowa,25,2010,131.30,1828.38,1108.29,5705.00,580.60,0.00,6.40,0.27,0.00,0.00,3476.65,0.00,0.00,196.78
Kansas,25,2010,2.60,3704.00,0.00,5249.80,1166.00,0.00,0.00,0.36,0.00,0.00,912.30,0.00,0.00,83.72
Kentucky,25,2010,777.40,4618.87,0.00,14337.10,0.00,0.00,9.60,0.00,0.00,0.00,0.00,0.00,0.00,272.60
Louisiana,25,2010,192.00,10752.75,5080.85,3453.00,2124.00,0.00,12.20,5.18,0.00,0.00,0.00,0.00,0.00,148.85
Maine,25,2010,722.00,1033.54,1250.01,85.00,0.00,0.00,280.90,2.61,0.00,0.00,174.00,0.00,0.00,20.53
Maryland,25,2010,526.80,5252.95,172.50,4898.00,1735.00,0.00,117.90,0.00,0.00,0.00,857.47,0.00,0.00,99.72
Massachusetts,25,2010,269.50,3549.64,4648.49,1733.97,684.70,0.00,286.55,6.89,0.00,0.00,9.15,0.00,1540.00,124.00
Michigan,25,2010,374.10,7945.15,4622.13,11747.07,3982.00,0.00,248.12,0.00,0.00,0.00,123.60,0.00,1978.80,253.40
Minnesota,25,2010,185.60,2720.20,661.85,5287.17,1617.00,0.00,209.09,0.01,0.00,0.00,1535.20,0.00,0.00,344.34
Mississippi,25,2010,0.00,6480.64,5875.60,2562.90,1266.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,115.91
Missouri,25,2010,499.20,4333.40,1793.25,11172.30,1190.00,0.00,0.00,0.21,0.00,0.00,308.50,0.00,600.40,374.35
Montana,25,2010,2512.30,136.03,0.00,2339.30,0.00,0.00,0.00,0.01,0.00,0.00,374.50,0.00,0.00,41.14
Nebraska,25,2010,194.30,1528.35,406.90,3195.80,1238.34,0.00,4.64,0.04,0.00,0.00,107.10,0.00,0.00,106.09
Nevada,25,2010,1047.00,1483.98,2964.90,2657.00,0.00,246.70,0.00,1.50,0.00,23.52,0.00,0.00,0.00,115.97
New Hampshire,25,2010,445.40,473.38,1322.00,575.10,1220.10,0.00,122.03,0.04,0.00,0.00,24.00,0.00,0.00,18.81
New Jersey,25,2010,13.20,4770.41,3854.57,2076.60,3984.00,0.00,199.30,22.21,0.00,0.00,489.10,0.00,453.00,271.60
New Mexico,25,2010,78.70,1418.70,224.75,3956.90,0.00,10.00,6.40,2.31,0.00,72.67,595.50,0.00,0.00,77.75
New York,25,2010,4652.70,14146.30,5599.21,4029.57,5150.20,0.00,306.63,36.80,0.00,0.00,2661.20,0.00,1240.00,291.71
North Carolina,25,2010,1827.50,5167.99,774.50,13038.50,4938.00,0.00,93.50,3.51,0.00,0.00,0.00,0.00,95.00,135.24
North Dakota,25,2010,614.00,70.72,0.00,4105.87,0.00,0.00,0.00,0.00,0.00,0.00,1477.20,0.00,0.00,62.03
Ohio,25,2010,128.40,6145.98,2717.38,22163.50,2108.00,0.00,10.80,0.06,0.00,0.00,673.20,0.00,0.00,442.46
Oklahoma,25,2010,789.50,5569.82,5877.50,5284.10,0.00,0.00,0.00,0.39,0.00,0.00,1030.80,0.00,288.00,134.35
Oregon,25,2010,8240.00,133.80,2194.05,585.00,0.00,0.00,53.41,11.04,0.00,0.00,1759.15,0.00,0.00,162.92
Pennsylvania,25,2010,774.90,5828.13,7586.77,18435.50,9195.00,0.00,338.24,10.61,0.00,0.00,1380.04,0.00,1269.00,301.41
Rhode Island,25,2010,4.30,4.96,1459.60,0.00,0.00,0.00,23.70,1.45,0.00,0.00,1.50,0.00,0.00,25.50
South Carolina,25,2010,1363.00,3409.63,2026.00,5968.20,6472.00,0.00,9.00,0.09,0.00,0.00,0.00,0.00,2188.40,138.85
South Dakota,25,2010,1730.40,650.15,0.00,482.10,0.00,0.00,0.00,0.00,0.00,0.00,319.50,0.00,0.00,51.24
Tennessee,25,2010,2418.00,3706.26,0.00,8618.00,3398.00,0.00,18.90,0.11,0.00,0.00,28.80,0.00,1530.00,154.03
Texas,25,2010,672.20,36544.61,28322.42,19823.00,4860.00,0.00,40.80,9.03,0.00,0.00,9721.50,0.00,0.00,741.48
Utah,25,2010,262.40,851.63,402.40,4735.99,0.00,94.00,1.40,0.02,0.00,0.00,222.40,0.00,0.00,121.09
Vermont,25,2010,305.60,94.69,0.00,0.00,506.00,0.00,72.00,0.35,0.00,0.00,6.00,0.00,0.00,12.45
Virginia,25,2010,740.60,5581.17,2852.98,5704.40,3432.00,0.00,175.72,0.14,0.00,0.00,0.00,0.00,3109.30,151.80
