state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,load
Alabama,25,2010,9299939.56,82196.38,25408830.21,47111956.00,39588360.19,0.00,0.00,217.45,0.00,0.00,0.00,0.00,91689465.24
Arizona,25,2010,8141185.44,548578.05,66991677.31,39737567.52,30631968.00,0.00,42709.78,19022.01,0.00,0.00,166215.30,0.00,82847554.05
Arkansas,25,2010,3122326.67,8834.76,4034309.69,7854884.40,14497814.02,0.00,29463.03,0.00,0.00,0.00,0.00,0.00,40448716.16
California,25,2010,34941689.67,1676504.09,60630585.26,2348533.22,34181323.78,15475556.14,5462335.94,249186.90,0.00,903487.89,7200396.02,0.00,269427074.22
Colorado,25,2010,1593103.59,91188.08,6385325.84,35897387.16,0.00,0.00,72184.43,5797.77,0.00,0.00,3273949.85,0.00,44382318.95
Connecticut,25,2010,396320.06,22086.87,9288498.43,1729817.33,16103324.39,0.00,1519197.74,8143.16,0.00,0.00,0.00,0.00,33191998.22
Delaware,25,2010,0.00,7086.82,815195.19,7075600.25,0.00,0.00,0.00,2108.77,0.00,0.00,444155.61,0.00,9251051.13
Florida,25,2010,208412.06,4305116.29,49272692.56,63841673.55,30845403.65,0.00,4541689.50,48655.90,0.00,0.00,0.00,0.00,243867123.60
Georgia,25,2010,4182738.39,264103.06,27615964.19,96255024.50,32094397.44,0.00,18974.16,667.25,0.00,0.00,0.00,0.00,126131940.09
Idaho,25,2010,10449604.94,27471.75,645240.24,0.00,0.00,145943.13,85221.82,163.62,0.00,0.00,496076.36,0.00,21696601.08
Illinois,25,2010,96976.67,502828.73,4336739.38,113119855.91,90022413.31,0.00,1037873.13,490.43,0.00,0.00,4198573.14,0.00,142267609.63
Indiana,25,2010,448684.33,78721.02,2711420.31,134390190.13,0.00,0.00,75896.64,62.80,0.00,0.00,3485522.01,0.00,112291645.96
Iowa,25,2010,864915.11,28545.84,261025.05,42279526.80,4589656.93,0.00,50597.76,297.41,0.00,0.00,9149256.93,0.00,39431953.79
Kansas,25,2010,3845.33,52769.94,0.00,38906057.81,9217257.98,0.00,0.00,477.34,0.00,0.00,2403906.62,0.00,40316726.45
Kentucky,25,2010,3040248.78,174307.33,0.00,96422351.56,0.00,0.00,75896.64,0.00,0.00,0.00,0.00,0.00,70637775.15
Louisiana,25,2010,403837.67,43102.92,20442686.60,21369350.76,16790270.98,0.00,89862.25,6915.86,0.00,0.00,0.00,0.00,72376247.63
Maine,25,2010,4122300.94,8664.24,6119215.83,73508.00,0.00,0.00,2084975.71,2682.34,0.00,0.00,458702.76,0.00,12221820.18
Maryland,25,2010,1834543.72,41316.18,60940.80,31635387.94,13715216.64,0.00,932105.61,0.00,0.00,0.00,2262870.87,0.00,53547147.09
Massachusetts,25,2010,812127.33,4219.31,22903194.10,1799444.71,5412569.93,0.00,2251581.01,6938.57,0.00,0.00,24166.40,0.00,59500840.05
Michigan,25,2010,1391208.89,227422.20,19941259.73,87057065.89,31477805.57,0.00,1876377.56,0.00,0.00,0.00,325632.06,0.00,150428136.67
Minnesota,25,2010,9540677.80,65379.20,176376.15,39183005.38,12782423.81,0.00,1611939.86,14.25,0.00,0.00,4038780.88,0.00,69644345.99
Mississippi,25,2010,0.00,40458.49,15639244.74,10702361.78,10007760.38,0.00,0.00,199.65,0.00,0.00,0.00,0.00,40118382.87
Missouri,25,2010,1526536.17,151606.38,1193969.62,75652039.33,9406978.56,0.00,0.00,255.62,0.00,0.00,811576.01,0.00,106464710.25
Montana,25,2010,9539659.93,0.00,0.00,13298168.38,0.00,0.00,0.00,15.10,0.00,0.00,982510.55,0.00,13307922.62
Nebraska,25,2010,807234.00,28601.35,242502.59,23683945.97,9789107.42,0.00,35905.57,52.94,0.00,0.00,280904.33,0.00,23456007.52
Nevada,25,2010,2155924.44,481391.10,23422671.40,19690920.72,0.00,1836947.43,0.00,2207.75,0.00,129293.83,0.00,0.00,34204717.24
New Hampshire,25,2010,1094256.22,0.00,851647.10,497346.48,9644919.78,0.00,915803.94,42.28,0.00,0.00,63447.38,0.00,9331358.41
New Jersey,25,2010,29771.06,126811.57,5836438.52,15065186.80,31493615.62,0.00,1565491.21,29095.41,0.00,0.00,1288958.00,0.00,89909361.98
New Mexico,25,2010,203969.06,46080.06,1184436.10,29258607.73,0.00,74460.78,47140.85,3679.14,0.00,381618.69,1568101.23,0.00,37579388.87
New York,25,2010,29866367.33,461297.81,23657024.53,29862982.09,40712454.60,0.00,2404200.88,42018.39,0.00,0.00,7010323.32,0.00,155857307.30
North Carolina,25,2010,4621919.17,199453.99,2711980.61,55569669.69,39035008.51,0.00,696314.41,4446.14,0.00,0.00,0.00,0.00,114102923.58
North Dakota,25,2010,2543655.81,0.00,0.00,30428438.34,0.00,0.00,0.00,0.00,0.00,0.00,3888238.73,0.00,13042855.29
Ohio,25,2010,500949.67,240664.93,3819366.19,159480311.20,16663790.59,0.00,81494.70,65.67,0.00,0.00,1771505.12,0.00,150197013.88
Oklahoma,25,2010,2608900.50,26754.54,15378123.72,39160253.74,0.00,0.00,0.00,585.66,0.00,0.00,2718391.08,0.00,66075792.19
Oregon,25,2010,36950715.67,6533.52,11516182.88,4335411.60,0.00,0.00,400832.10,10868.68,0.00,0.00,4649939.18,0.00,53917104.43
